id1,id2,matching_probability
0,218,1.0
1,219,1.0
10,228,0.8
100,318,1.0
101,319,1.0
102,320,1.0
103,321,1.0
104,322,1.0
105,323,0.7
106,324,1.0
107,325,0.8
108,326,0.9
109,327,1.0
11,229,1.0
110,328,1.0
111,329,1.0
12,230,1.0
13,231,1.0
14,232,1.0
15,233,1.0
16,234,1.0
17,235,0.8
18,236,1.0
19,237,1.0
2,220,1.0
21,239,1.0
22,240,1.0
23,241,1.0
24,242,1.0
25,243,1.0
26,244,1.0
27,245,1.0
28,246,1.0
29,247,1.0
3,221,1.0
30,248,1.0
31,249,1.0
32,250,1.0
33,251,1.0
34,252,1.0
35,253,1.0
36,254,1.0
37,255,1.0
38,256,1.0
39,257,1.0
4,222,1.0
40,258,1.0
41,259,1.0
428,137,0.9
43,261,0.9
437,290,0.9
44,262,1.0
440,138,0.9
442,138,0.9
45,263,1.0
46,264,1.0
47,265,1.0
48,266,1.0
49,267,1.0
5,223,1.0
50,268,1.0
51,269,1.0
52,270,1.0
53,271,1.0
54,272,1.0
55,273,1.0
56,274,1.0
57,275,1.0
58,276,0.9
59,277,1.0
6,224,1.0
61,279,1.0
63,281,1.0
64,282,1.0
65,283,1.0
66,284,1.0
67,285,1.0
68,286,1.0
69,287,1.0
7,225,0.8
70,288,1.0
71,289,0.9
72,290,1.0
73,291,0.9
74,292,1.0
75,293,1.0
76,294,1.0
77,295,1.0
78,296,0.9
79,297,1.0
8,226,1.0
80,298,1.0
81,299,1.0
82,300,0.9
83,301,1.0
84,302,1.0
85,303,1.0
86,304,1.0
87,305,1.0
88,306,1.0
89,307,1.0
89,308,0.9
9,227,0.9
90,307,0.9
90,308,1.0
91,309,1.0
91,330,1.0
92,310,1.0
93,311,1.0
94,312,1.0
95,313,1.0
96,314,1.0
97,315,0.9
98,316,1.0
99,317,0.9
