Name,Year,Rating,Genre,Directed By,Runtime
Deliver Us from Evil,2006,NR,Documentary,Amy Berg,101 minutes
Le amiche,1955,NR,"Art House & International, Drama",Michelangelo Antonioni,104 minutes
Antonio Gaudí,1986,NR,"Art House & International, Documentary, Drama, Musical & Performing Arts, Special Interest",Hiroshi Teshigahara,97 minutes
The Devil and Miss Jones,1941,NR,"Classics, Comedy, Drama, Romance",Sam Wood,90 minutes
A Tale of Two Cities,1935,NR,"Classics, Drama, Romance",Jack Conway,128 minutes
The Hill,1965,NR,"Classics, Drama",Sidney Lumet,123 minutes
Who the #$&% Is Jackson Pollock?,2006,PG-13,"Documentary, Musical & Performing Arts, Special Interest",Harry Moses,74 minutes
The Gravedancers,2006,R,"Horror, Mystery & Suspense",Mike Mendez,98 minutes
Helter Skelter,1976,NR,"Drama, Television",Tom Gries,194 minutes
The Naked Spur,1953,PG,"Classics, Western",Anthony Mann,91 minutes
