id1,id2,matching_probability
1013,2378,1.0
1047,1732,1.0
1060,2338,1.0
1069,4059,1.0
1155,5192,1.0
1194,4652,1.0
1194,4709,1.0
1212,1802,1.0
125,1169,1.0
1251,1549,1.0
1251,1593,1.0
1274,4185,1.0
1335,2723,0.59
1410,1051,1.0
1461,807,1.0
1488,1266,1.0
158,2678,1.0
1591,2644,1.0
1596,2397,1.0
1661,2187,1.0
1751,1407,0.9
179,4371,1.0
1806,699,1.0
1807,3969,1.0
1821,3576,1.0
1821,3617,1.0
1828,4459,1.0
1838,2181,1.0
1856,4126,1.0
1876,4828,1.0
1932,5048,1.0
198,1665,1.0
198,1759,1.0
2,2479,1.0
203,2679,0.9
2038,730,1.0
2039,5319,1.0
204,959,0.9
2042,4066,1.0
2044,4991,1.0
2045,1443,1.0
2049,2443,1.0
2049,2505,1.0
2050,2024,1.0
2097,4801,1.0
214,3147,1.0
220,3391,1.0
2209,5076,1.0
2217,2970,0.9
2232,4640,1.0
2244,1770,1.0
240,4313,1.0
2430,1773,0.866666666667
2435,3396,1.0
2440,5026,1.0
2444,2480,1.0
2497,4279,1.0
2526,5081,1.0
26,4419,1.0
260,2456,1.0
2636,4319,1.0
2654,4536,1.0
2658,2176,1.0
2830,3150,1.0
2899,2758,0.9
2909,5055,1.0
2999,3710,1.0
301,4898,1.0
3022,2947,0.95
3031,3421,1.0
3053,1237,1.0
3100,5033,0.9
3238,5025,1.0
3249,1223,1.0
3254,5365,1.0
3258,1255,1.0
3286,4450,1.0
3400,2509,1.0
3400,2596,1.0
341,1434,0.583333333333
3441,5062,1.0
3444,3070,1.0
3517,3400,1.0
3538,4440,1.0
369,2882,1.0
371,2510,1.0
371,2597,1.0
3740,1798,0.933333333333
3758,4189,1.0
3794,2481,1.0
3828,1381,0.9
398,3105,1.0
398,3140,1.0
4031,5215,1.0
4095,2444,1.0
41,3363,1.0
410,2057,1.0
4121,5064,1.0
4139,3579,1.0
415,2177,1.0
415,2270,1.0
4171,5238,1.0
42,1649,1.0
425,3207,1.0
425,3238,1.0
4261,639,1.0
4264,1570,1.0
4273,2701,1.0
4273,2753,1.0
4304,3260,1.0
444,4312,1.0
4469,4834,0.716666666667
4493,5336,1.0
4696,2771,1.0
4697,3090,0.6
483,3800,1.0
4867,2464,1.0
541,4184,1.0
557,2946,1.0
570,3742,1.0
612,4040,1.0
632,3797,1.0
632,3817,1.0
690,4354,0.9
7,1376,1.0
716,3393,1.0
718,1445,1.0
718,1483,1.0
731,1247,1.0
796,1464,1.0
8,2439,1.0
8,2501,1.0
828,4651,1.0
828,4708,1.0
836,2355,1.0
860,1900,1.0
928,4989,1.0
94,2103,1.0
942,2415,1.0
98,4338,1.0
